Age,Gender,Education Level,Job Title,Years of Experience,Salary
32.0,1,0,175,5.0,90000.0
28.0,0,2,18,3.0,65000.0
45.0,1,3,144,15.0,150000.0
36.0,0,0,115,7.0,60000.0
52.0,1,2,25,20.0,200000.0
29.0,1,0,93,2.0,55000.0
42.0,0,2,106,12.0,120000.0
31.0,1,0,118,4.0,80000.0
26.0,0,0,94,1.0,45000.0
38.0,1,3,165,10.0,110000.0
29.0,1,2,174,3.0,75000.0
48.0,0,0,47,18.0,140000.0
35.0,1,0,40,6.0,65000.0
40.0,0,2,109,14.0,130000.0
27.0,1,0,14,2.0,40000.0
44.0,1,0,102,16.0,125000.0
33.0,0,2,96,7.0,90000.0
39.0,1,3,130,12.0,115000.0
25.0,0,0,19,0.0,35000.0
51.0,1,0,116,22.0,180000.0
34.0,0,2,4,5.0,80000.0
47.0,1,2,189,19.0,190000.0
30.0,1,0,53,2.0,50000.0
36.0,0,0,112,9.0,60000.0
41.0,1,2,41,13.0,140000.0
28.0,0,0,173,3.0,45000.0
37.0,0,2,177,11.0,110000.0
24.0,1,0,66,1.0,40000.0
43.0,0,3,126,15.0,140000.0
33.0,1,2,105,6.0,90000.0
50.0,1,0,7,25.0,250000.0
31.0,0,0,1,4.0,55000.0
29.0,1,2,20,3.0,75000.0
39.0,0,0,97,10.0,65000.0
46.0,1,3,144,20.0,170000.0
27.0,1,0,184,2.0,45000.0
35.0,0,0,46,7.0,60000.0
42.0,1,2,108,14.0,115000.0
26.0,0,0,17,1.0,40000.0
49.0,1,0,117,21.0,160000.0
34.0,0,2,186,5.0,80000.0
48.0,1,2,101,18.0,190000.0
30.0,1,0,98,3.0,60000.0
36.0,0,0,2,8.0,45000.0
41.0,1,2,179,13.0,130000.0
28.0,0,0,11,2.0,40000.0
32.0,1,0,0,5.0,75000.0
45.0,0,2,33,16.0,180000.0
38.0,1,3,165,11.0,120000.0
25.0,1,0,48,0.0,35000.0
51.0,0,0,13,22.0,130000.0
33.0,1,2,6,7.0,85000.0
40.0,0,0,38,12.0,60000.0
47.0,1,2,188,19.0,200000.0
29.0,0,0,45,3.0,50000.0
36.0,1,0,118,9.0,95000.0
27.0,0,2,187,2.0,65000.0
43.0,1,3,130,17.0,140000.0
30.0,0,0,172,4.0,55000.0
35.0,1,2,106,7.0,105000.0
51.0,0,2,34,23.0,170000.0
29.0,1,0,93,3.0,50000.0
40.0,0,0,47,12.0,80000.0
47.0,1,3,129,21.0,180000.0
26.0,1,0,56,1.0,35000.0
38.0,0,2,23,10.0,90000.0
46.0,1,0,52,19.0,120000.0
31.0,0,0,15,5.0,45000.0
34.0,1,2,5,8.0,90000.0
49.0,0,2,132,18.0,150000.0
33.0,1,0,190,6.0,65000.0
39.0,0,0,112,11.0,70000.0
45.0,1,3,113,16.0,190000.0
28.0,1,0,183,2.0,40000.0
42.0,0,2,12,14.0,120000.0
37.0,1,0,109,10.0,95000.0
50.0,0,0,102,22.0,160000.0
32.0,1,2,168,6.0,100000.0
48.0,0,2,50,20.0,180000.0
30.0,0,0,10,3.0,55000.0
36.0,1,0,182,8.0,70000.0
41.0,0,2,18,13.0,80000.0
25.0,1,0,120,0.0,30000.0
52.0,1,3,9,24.0,250000.0
29.0,0,0,65,2.0,40000.0
34.0,0,2,39,10.0,95000.0
27.0,1,0,55,2.0,45000.0
40.0,0,0,46,15.0,80000.0
46.0,1,2,159,21.0,135000.0
31.0,0,0,94,6.0,55000.0
36.0,1,3,104,11.0,120000.0
29.0,0,0,115,3.0,40000.0
43.0,1,0,181,18.0,105000.0
52.0,0,2,148,25.0,170000.0
33.0,1,0,4,7.0,75000.0
39.0,0,0,185,12.0,65000.0
47.0,1,3,114,22.0,160000.0
26.0,1,0,86,1.0,35000.0
38.0,0,2,110,10.0,90000.0
45.0,1,0,100,20.0,110000.0
31.0,0,0,38,5.0,45000.0
35.0,1,2,107,8.0,95000.0
49.0,0,2,136,19.0,150000.0
33.0,1,0,90,5.0,50000.0
39.0,0,2,157,13.0,80000.0
44.0,1,3,8,16.0,220000.0
30.0,0,0,22,3.0,50000.0
36.0,1,0,54,7.0,60000.0
41.0,0,2,145,14.0,100000.0
28.0,1,0,16,2.0,40000.0
42.0,0,2,134,15.0,110000.0
37.0,1,0,178,9.0,95000.0
50.0,0,0,180,22.0,130000.0
32.0,1,2,124,6.0,90000.0
23.0,0,0,71,0.5,35000.0
31.0,1,2,132,6.0,95000.0
40.0,0,0,99,15.0,65000.0
48.0,1,3,103,20.0,170000.0
29.0,0,0,70,3.0,45000.0
35.0,1,2,155,10.0,120000.0
42.0,0,0,118,17.0,100000.0
53.0,1,2,33,25.0,180000.0
33.0,0,0,75,5.0,50000.0
38.0,1,0,13,11.0,80000.0
44.0,0,3,165,16.0,140000.0
26.0,1,0,56,2.0,40000.0
37.0,0,2,135,9.0,95000.0
45.0,1,0,119,18.0,110000.0
32.0,0,0,94,4.0,50000.0
34.0,1,2,167,8.0,105000.0
50.0,0,2,34,21.0,160000.0
29.0,1,0,89,3.0,45000.0
40.0,0,2,169,12.0,100000.0
47.0,1,3,161,22.0,160000.0
27.0,1,0,83,1.0,35000.0
39.0,0,0,2,10.0,55000.0
46.0,1,2,159,19.0,140000.0
30.0,0,0,73,4.0,50000.0
36.0,1,0,63,7.0,60000.0
43.0,0,2,156,14.0,120000.0
28.0,1,0,58,2.0,40000.0
41.0,0,2,148,13.0,110000.0
33.0,1,0,86,5.0,50000.0
47.0,1,0,163,20.0,135000.0
25.0,0,2,74,1.5,40000.0
34.0,1,0,124,8.0,90000.0
42.0,0,3,129,16.0,150000.0
31.0,1,0,79,4.0,60000.0
38.0,0,0,123,10.0,80000.0
45.0,1,2,36,19.0,175000.0
29.0,0,0,80,3.0,45000.0
36.0,1,2,125,11.0,120000.0
43.0,0,3,153,18.0,140000.0
26.0,1,0,62,2.0,35000.0
37.0,0,2,145,9.0,95000.0
44.0,1,0,143,14.0,110000.0
32.0,0,0,68,5.0,50000.0
33.0,1,2,152,7.0,115000.0
51.0,0,3,32,23.0,185000.0
28.0,1,0,87,2.0,40000.0
39.0,0,0,164,12.0,90000.0
48.0,1,2,35,21.0,175000.0
30.0,0,0,61,3.0,45000.0
35.0,1,0,146,7.0,80000.0
41.0,0,2,139,13.0,120000.0
27.0,1,0,59,1.5,35000.0
40.0,0,0,122,14.0,110000.0
46.0,1,3,162,18.0,150000.0
31.0,0,0,69,4.0,50000.0
34.0,1,2,168,9.0,105000.0
50.0,0,2,29,20.0,180000.0
29.0,1,0,72,2.0,40000.0
43.0,1,0,159,16.0,140000.0
26.0,0,2,64,1.5,45000.0
35.0,1,0,150,7.0,85000.0
42.0,0,3,148,18.0,140000.0
31.0,1,0,56,4.0,50000.0
38.0,0,0,138,10.0,80000.0
46.0,1,2,34,20.0,170000.0
29.0,0,0,83,2.0,40000.0
37.0,1,2,124,9.0,105000.0
44.0,0,3,170,15.0,145000.0
27.0,1,0,78,2.0,40000.0
36.0,0,0,149,8.0,85000.0
43.0,1,0,142,14.0,130000.0
33.0,0,2,132,6.0,95000.0
34.0,1,0,160,9.0,100000.0
50.0,0,3,37,22.0,180000.0
28.0,1,0,75,1.5,35000.0
39.0,0,0,121,12.0,95000.0
47.0,1,2,26,19.0,170000.0
30.0,0,0,84,3.0,45000.0
34.0,1,0,155,7.0,95000.0
40.0,0,2,140,13.0,120000.0
28.0,1,0,58,2.0,40000.0
41.0,0,0,146,11.0,90000.0
45.0,1,3,127,17.0,155000.0
32.0,0,0,55,5.0,55000.0
35.0,1,2,167,9.0,110000.0
49.0,0,2,31,21.0,180000.0
30.0,1,0,57,3.0,45000.0
44.0,1,0,163,16.0,130000.0
27.0,0,2,88,1.5,45000.0
36.0,1,0,123,7.0,90000.0
41.0,0,3,147,17.0,160000.0
31.0,1,0,70,4.0,50000.0
39.0,0,0,152,10.0,120000.0
47.0,1,2,29,20.0,170000.0
30.0,0,0,72,2.0,40000.0
38.0,1,2,141,9.0,110000.0
45.0,0,3,153,15.0,150000.0
28.0,1,0,59,2.0,40000.0
35.0,0,0,145,8.0,85000.0
44.0,1,0,168,14.0,130000.0
34.0,0,2,131,6.0,100000.0
35.0,1,0,157,9.0,95000.0
50.0,0,3,34,22.0,180000.0
29.0,1,0,60,1.5,35000.0
40.0,0,0,164,12.0,100000.0
48.0,1,2,33,19.0,170000.0
31.0,0,0,85,3.0,45000.0
33.0,1,0,154,7.0,100000.0
42.0,0,2,139,13.0,140000.0
28.0,1,0,68,2.0,40000.0
40.0,0,0,148,11.0,105000.0
46.0,1,3,129,18.0,160000.0
33.0,0,0,77,5.0,70000.0
37.0,1,2,166,9.0,120000.0
51.0,0,2,32,21.0,190000.0
30.0,1,0,74,3.0,45000.0
43.0,1,0,159,15.0,120000.0
27.0,0,2,81,1.5,50000.0
35.0,1,0,150,8.0,85000.0
42.0,0,3,148,13.0,140000.0
32.0,1,0,83,3.0,45000.0
37.0,0,0,132,9.0,100000.0
45.0,1,2,167,16.0,140000.0
33.0,0,0,75,5.0,70000.0
39.0,1,0,149,10.0,120000.0
44.0,0,3,136,18.0,160000.0
